"","Taxon","Family","Order","Vol_Unit","Year","Clean_code","IUCNName","Threat","Volume"
"71","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2017,"VU","Aquilaria malaccensis","threatened",362.98671875
"72","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2018,"CR","Aquilaria malaccensis","threatened",311.52875
"73","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2019,"CR","Aquilaria malaccensis","threatened",384.856875
"74","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2020,"CR","Aquilaria malaccensis","threatened",171.5171875
"75","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2005,"VU","Aquilaria microcarpa","threatened",0.296150049358341
"76","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2006,"VU","Aquilaria microcarpa","threatened",0
"77","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2007,"VU","Aquilaria microcarpa","threatened",0
"78","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2008,"VU","Aquilaria microcarpa","threatened",0
"79","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2009,"VU","Aquilaria microcarpa","threatened",0
"80","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2010,"VU","Aquilaria microcarpa","threatened",0
"81","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2011,"VU","Aquilaria microcarpa","threatened",0
"82","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2012,"VU","Aquilaria microcarpa","threatened",0
"83","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2013,"VU","Aquilaria microcarpa","threatened",0
"84","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2014,"VU","Aquilaria microcarpa","threatened",0
"85","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2015,"VU","Aquilaria microcarpa","threatened",0
"86","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2016,"VU","Aquilaria microcarpa","threatened",0
"87","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2017,"VU","Aquilaria microcarpa","threatened",0
"88","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2018,"EN","Aquilaria microcarpa","threatened",0.00592300098716683
"89","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2019,"EN","Aquilaria microcarpa","threatened",0
"90","Aquilaria microcarpa","Thymelaeaceae","Myrtales","m3",2020,"EN","Aquilaria microcarpa","threatened",0
"91","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2008,"NT","Gonopterodendron sarmientoi","not threatened",1251.36666041739
"92","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2009,"NT","Gonopterodendron sarmientoi","not threatened",724.181968523361
"93","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2010,"NT","Gonopterodendron sarmientoi","not threatened",2068.72344762939
"94","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2011,"NT","Gonopterodendron sarmientoi","not threatened",12805.9012043021
"95","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2012,"NT","Gonopterodendron sarmientoi","not threatened",12491.3374567683
"96","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2013,"NT","Gonopterodendron sarmientoi","not threatened",6937.67456707287
"97","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2014,"NT","Gonopterodendron sarmientoi","not threatened",4787.83664388969
"98","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2015,"NT","Gonopterodendron sarmientoi","not threatened",2453.25738946174
"99","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2016,"NT","Gonopterodendron sarmientoi","not threatened",2048.79814169421
"100","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2017,"NT","Gonopterodendron sarmientoi","not threatened",57324.6528807045
"101","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2018,"EN","Gonopterodendron sarmientoi","threatened",2132.53177833144
"102","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2019,"EN","Gonopterodendron sarmientoi","threatened",1652.28418131136
"103","Bulnesia sarmientoi","Zygophyllaceae","Sapindales","m3",2020,"EN","Gonopterodendron sarmientoi","threatened",3483.45956736889
"104","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2000,"NE","Carnegiea gigantea","not threatened",0
"105","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2001,"NE","Carnegiea gigantea","not threatened",0
"106","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2002,"NE","Carnegiea gigantea","not threatened",42.8148148148148
"107","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2003,"NE","Carnegiea gigantea","not threatened",6.2037037037037
"108","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2004,"NE","Carnegiea gigantea","not threatened",0
"109","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2005,"NE","Carnegiea gigantea","not threatened",0
"110","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2006,"NE","Carnegiea gigantea","not threatened",0
"111","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2007,"NE","Carnegiea gigantea","not threatened",0
"112","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2008,"NE","Carnegiea gigantea","not threatened",0
"113","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2009,"NE","Carnegiea gigantea","not threatened",0
"114","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2010,"NE","Carnegiea gigantea","not threatened",0
"115","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2011,"NE","Carnegiea gigantea","not threatened",5.18518518518519
"116","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2012,"NE","Carnegiea gigantea","not threatened",0
"117","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2013,"LC","Carnegiea gigantea","not threatened",0
"118","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2014,"LC","Carnegiea gigantea","not threatened",0
"119","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2015,"LC","Carnegiea gigantea","not threatened",0
"120","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2016,"LC","Carnegiea gigantea","not threatened",0
"121","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2017,"LC","Carnegiea gigantea","not threatened",0
"122","Carnegiea gigantea","Cactaceae","Caryophyllales","m3",2018,"LC","Carnegiea gigantea","not threatened",0
