"","IUCNName","Year","IUCN_code","IUCN_cat","Taxon"
"655","Maxillaria sanderiana",,,,"Maxillaria sanderiana"
"656","Maxillaria setigera",,,,"Maxillaria setigera"
"657","Maxillaria speciosa",,,,"Maxillaria speciosa"
"658","Maxillaria tenuifolia",,,,"Maxillaria tenuifolia"
"659","Maxillaria uncata",,,,"Maxillaria uncata"
"660","Maxillaria variabilis",,,,"Maxillaria variabilis"
"661","Megastylis latissima","2021","VU","Vulnerable","Megastylis latissima"
"662","Megastylis rara","2021","LC","Least Concern","Megastylis rara"
"663","Melocactus lemairei","2017","NT","Near Threatened","Melocactus lemairei"
"664","Melocactus lemairei","2013","NT","Near Threatened","Melocactus lemairei"
"665","Melocactus matanzanus","2013","EN","Endangered","Melocactus matanzanus"
"666","Melocactus praerupticola","2017","DD","Data Deficient","Melocactus praerupticola"
"667","Melocactus praerupticola","2013","DD","Data Deficient","Melocactus praerupticola"
"668","Microcoelia aphylla",,,,"Microcoelia aphylla"
"669","Microcoelia gilpinae",,,,"Microcoelia gilpinae"
"670","Microcoelia macrantha",,,,"Microcoelia macrantha"
"671","Micropera pallida",,,,"Micropera pallida"
"672","Miltoniopsis santanaei",,,,"Miltoniopsis santanaei"
"673","Mormolyca ringens",,,,"Mormolyca ringens"
"674","Mycaranthes pannea",,,,"Mycaranthes pannea"
"675","Myrmecophila brysiana",,,,"Myrmecophila brysiana"
"676","Myrmecophila exaltata",,,,"Myrmecophila exaltata"
"677","Myrmecophila grandiflora",,,,"Myrmecophila grandiflora"
"678","Myrmecophila humboldtii",,,,"Myrmecophila humboldtii"
"679","Myrmecophila tibicinis",,,,"Myrmecophila tibicinis"
"680","Neobathiea perrieri",,,,"Neobathiea perrieri"
"681","Neocogniauxia hexaptera",,,,"Neocogniauxia hexaptera"
"682","Neocogniauxia monophylla",,,,"Neocogniauxia monophylla"
"683","Neofinetia falcata",,,,"Neofinetia falcata"
"684","Nepenthes albomarginata","2018","LC","Least Concern","Nepenthes albomarginata"
"685","Nepenthes albomarginata","2000","LR/cd","Lower Risk/conservation dependent","Nepenthes albomarginata"
"686","Nepenthes ampullaria","2018","LC","Least Concern","Nepenthes ampullaria"
"687","Nepenthes ampullaria","2000","LR/lc","Lower Risk/least concern","Nepenthes ampullaria"
"688","Nepenthes bellii","2018","LC","Least Concern","Nepenthes bellii"
"689","Nepenthes bellii","2000","EN","Endangered","Nepenthes bellii"
"690","Nepenthes bicalcarata","2000","VU","Vulnerable","Nepenthes bicalcarata"
"691","Nepenthes boschiana","2000","EN","Endangered","Nepenthes boschiana"
"692","Nepenthes gracilis","2018","LC","Least Concern","Nepenthes gracilis"
"693","Nepenthes gracilis","2000","LR/lc","Lower Risk/least concern","Nepenthes gracilis"
"694","Nepenthes hirsuta","2018","LC","Least Concern","Nepenthes hirsuta"
"695","Nepenthes hirsuta","2000","LR/cd","Lower Risk/conservation dependent","Nepenthes hirsuta"
"696","Nepenthes rafflesiana","2018","LC","Least Concern","Nepenthes hookeriana"
"697","Nepenthes rafflesiana","2018","LC","Least Concern","Nepenthes rafflesiana"
"698","Nepenthes rafflesiana","2000","LR/lc","Lower Risk/least concern","Nepenthes hookeriana"
"699","Nepenthes rafflesiana","2000","LR/lc","Lower Risk/least concern","Nepenthes rafflesiana"
"700","Nepenthes maxima","2018","LC","Least Concern","Nepenthes maxima"
"701","Nepenthes maxima","2000","LR/lc","Lower Risk/least concern","Nepenthes maxima"
"702","Nepenthes mirabilis","2014","LC","Least Concern","Nepenthes mirabilis"
"703","Nepenthes rafflesiana","2018","LC","Least Concern","Nepenthes hookeriana"
"704","Nepenthes rafflesiana","2018","LC","Least Concern","Nepenthes rafflesiana"
"705","Nepenthes rafflesiana","2000","LR/lc","Lower Risk/least concern","Nepenthes hookeriana"
"706","Nepenthes rafflesiana","2000","LR/lc","Lower Risk/least concern","Nepenthes rafflesiana"
"707","Nepenthes sumatrana","2014","CR","Critically Endangered","Nepenthes sumatrana"
"708","Nepenthes sumatrana","2000","LR/lc","Lower Risk/least concern","Nepenthes sumatrana"
"709","Nepenthes truncata","2000","EN","Endangered","Nepenthes truncata"
"710","Nepenthes veitchii","2018","LC","Least Concern","Nepenthes veitchii"
"711","Nepenthes veitchii","2000","LR/nt","Lower Risk/near threatened","Nepenthes veitchii"
"712","Nepenthes ventricosa","2018","LC","Least Concern","Nepenthes ventricosa"
"713","Nepenthes ventricosa","2000","LR/nt","Lower Risk/near threatened","Nepenthes ventricosa"
"714","Nephelaphyllum pulchrum",,,,"Nephelaphyllum pulchrum"
"715","Nephelaphyllum tenuiflorum",,,,"Nephelaphyllum tenuiflorum"
"716","Nidema boothii",,,,"Nidema boothii"
"717","Notylia barkeri",,,,"Notylia barkeri"
"718","Oberonia ensiformis",,,,"Oberonia ensiformis"
"719","Oberonia pachyphylla",,,,"Oberonia pachyphylla"
"720","Oeceoclades calcarata",,,,"Oeceoclades calcarata"
"721","Oeceoclades decaryana",,,,"Oeceoclades decaryana"
"722","Oeceoclades humbertii",,,,"Oeceoclades humbertii"
"723","Oeceoclades maculata","2013","LC","Least Concern","Oeceoclades maculata"
"724","Oeceoclades perrieri",,,,"Oeceoclades perrieri"
"725","Oeceoclades rauhii",,,,"Oeceoclades rauhii"
"726","Oeceoclades spathulifera",,,,"Oeceoclades spathulifera"
"727","Oeonia rosea",,,,"Oeonia rosea"
"728","Oeonia volucris",,,,"Oeonia volucris"
"729","Oeoniella polystachys",,,,"Oeoniella polystachys"
"730","Oncidium altissimum",,,,"Oncidium altissimum"
"731","Oncidium deltoideum",,,,"Oncidium deltoideum"
"732","Oncidium ensatum","2015","LC","Least Concern","Oncidium ensatum"
"733","Oncidium hastatum",,,,"Oncidium hastatum"
"734","Oncidium retusum",,,,"Oncidium retusum"
"735","Oncidium sphacelatum",,,,"Oncidium sphacelatum"
"736","Operculicarya decaryi","2015","LC","Least Concern","Operculicarya decaryi"
"737","Operculicarya hyphaenoides","2015","EN","Endangered","Operculicarya hyphaenoides"
"738","Operculicarya pachypus","2015","EN","Endangered","Operculicarya pachypus"
"739","Orchis militaris",,,,"Orchis militaris"
"740","Ornithocephalus bicornis",,,,"Ornithocephalus bicornis"
"741","Ornithocephalus gladiatus",,,,"Ornithocephalus gladiatus"
"742","Ornithocephalus inflexus",,,,"Ornithocephalus inflexus"
"743","Ornithochilus difformis",,,,"Ornithochilus difformis"
"744","Pachypodium bispinosum",,,,"Pachypodium bispinosum"
"745","Pachypodium brevicaule","2015","VU","Vulnerable","Pachypodium brevicaule"
"746","Pachypodium densiflorum",,,,"Pachypodium densiflorum"
"747","Pachypodium eburneum","2015","CR","Critically Endangered","Pachypodium eburneum"
"748","Pachypodium geayi","2015","LC","Least Concern","Pachypodium geayi"
"749","Pachypodium horombense",,,,"Pachypodium horombense"
"750","Pachypodium inopinatum","2015","CR","Critically Endangered","Pachypodium inopinatum"
"751","Pachypodium lamerei","2020","LC","Least Concern","Pachypodium lamerei"
"752","Pachypodium lealii",,,,"Pachypodium lealii"
"753","Pachypodium rosulatum",,,,"Pachypodium rosulatum"
"754","Pachypodium rutenbergianum","2020","LC","Least Concern","Pachypodium rutenbergianum"
"755","Pachypodium sofiense","2020","VU","Vulnerable","Pachypodium sofiense"
"756","Pachypodium succulentum",,,,"Pachypodium succulentum"
"757","Papilionanthe pedunculata",,,,"Papilionanthe pedunculata"
"758","Pecteilis susannae",,,,"Pecteilis susannae"
"759","Pelatantheria ctenoglossum",,,,"Pelatantheria ctenoglossum"
"760","Pericopsis elata","2020","EN","Endangered","Pericopsis elata"
"761","Pericopsis elata","1998","nt","Not Threatened","Pericopsis elata"
"762","Pericopsis elata","1998","EN","Endangered","Pericopsis elata"
"763","Peristeria elata",,,,"Peristeria elata"
"764","Pescatoria hirtzii",,,,"Pescatoria hirtzii"
"765","Phaius indigofer",,,,"Phaius indigofer"
"766","Phaius mishmensis",,,,"Phaius mishmensis"
"767","Phaius pulchellus",,,,"Phaius pulchellus"
"768","Phaius tankervilleae",,,,"Phaius tankervilleae"
"769","Phalaenopsis amabilis",,,,"Phalaenopsis amabilis"
"770","Phalaenopsis gigantea",,,,"Phalaenopsis gigantea"
"771","Phalaenopsis mannii",,,,"Phalaenopsis mannii"
"772","Phalaenopsis parishii",,,,"Phalaenopsis parishii"
"773","Phalaenopsis pulcherrima",,,,"Phalaenopsis pulcherrima"
"774","Pholidota imbricata",,,,"Pholidota imbricata"
"775","Pinalia floribunda",,,,"Pinalia floribunda"
"776","Plectrophora cultrifolia",,,,"Plectrophora cultrifolia"
"777","Podocarpus neriifolius","2013","LC","Least Concern","Podocarpus neriifolius"
"778","Polystachya clavata",,,,"Polystachya clavata"
"779","Polystachya concreta",,,,"Polystachya concreta"
"780","Pomatocalpa spicatum",,,,"Pomatocalpa spicatum"
"781","Prosthechea pygmaea",,,,"Prosthechea pygmaea"
"782","Pteroceras teres",,,,"Pteroceras teres"
"783","Rauvolfia serpentina",,,,"Rauvolfia serpentina"
"784","Ravenea rivularis","2017","VU","Vulnerable","Ravenea rivularis"
"785","Ravenea rivularis","2012","EN","Endangered","Ravenea rivularis"
"786","Ravenea rivularis","1998","V","Vulnerable","Ravenea rivularis"
"787","Ravenea rivularis","1998","VU","Vulnerable","Ravenea rivularis"
"788","Renanthera annamensis",,,,"Renanthera annamensis"
"789","Renanthera coccinea",,,,"Renanthera coccinea"
"790","Renanthera imschootiana",,,,"Renanthera imschootiana"
"791","Restrepiella ophiocephala",,,,"Restrepiella ophiocephala"
"792","Rhipsalis baccifera","2013","LC","Least Concern","Rhipsalis baccifera"
"793","Rhyncholaelia digbyana",,,,"Rhyncholaelia digbyana"
"794","Rhyncholaelia glauca",,,,"Rhyncholaelia glauca"
"795","Rhynchostylis coelestis",,,,"Rhynchostylis coelestis"
"796","Rhynchostylis gigantea",,,,"Rhynchostylis gigantea"
"797","Rhynchostylis retusa",,,,"Rhynchostylis retusa"
"798","Sarcoglottis acaulis",,,,"Sarcoglottis acaulis"
"799","Sarcoglottis sceptrodes",,,,"Sarcoglottis sceptrodes"
"800","Sarracenia flava","2000","LR/lc","Lower Risk/least concern","Sarracenia flava"
"801","Sarracenia purpurea",,,,"Sarracenia purpurea"
"802","Scaphyglottis behrii",,,,"Scaphyglottis behrii"
"803","Scaphyglottis prolifera",,,,"Scaphyglottis prolifera"
"804","Schoenorchis gemmata",,,,"Schoenorchis gemmata"
"805","Schoenorchis micrantha",,,,"Schoenorchis micrantha"
"806","Schoenorchis tortifolia",,,,"Schoenorchis tortifolia"
"807","Schomburgkia lyonsii",,,,"Schomburgkia lyonsii"
"808","Senna meridionalis","2020","VU","Vulnerable","Senna meridionalis"
"809","Sobennikoffia humbertiana",,,,"Sobennikoffia humbertiana"
"810","Sobennikoffia robusta",,,,"Sobennikoffia robusta"
"811","Sobralia decora",,,,"Sobralia decora"
"812","Sobralia macrantha",,,,"Sobralia macrantha"
"813","Spathoglottis affinis",,,,"Spathoglottis affinis"
"814","Spathoglottis eburnea",,,,"Spathoglottis eburnea"
"815","Spathoglottis plicata",,,,"Spathoglottis plicata"
"816","Sphaeropteris cooperi",,,,"Sphaeropteris cooperi"
"817","Sphaeropteris excelsa",,,,"Sphaeropteris excelsa"
"818","Sphaeropteris glauca","2019","LC","Least Concern","Alsophila smithii"
"819","Sphaeropteris glauca","2019","LC","Least Concern","Sphaeropteris glauca"
"820","Sphaeropteris lepifera",,,,"Sphaeropteris lepifera"
"821","Sphaeropteris tomentosissima","2018","LC","Least Concern","Sphaeropteris tomentosissima"
"822","Stanhopea candida",,,,"Stanhopea candida"
"823","Stanhopea ecornuta",,,,"Stanhopea ecornuta"
"824","Stanhopea graveolens",,,,"Stanhopea graveolens"
"825","Stanhopea oculata",,,,"Stanhopea oculata"
"826","Stanhopea ruckeri",,,,"Stanhopea ruckeri"
"827","Stelis multirostris",,,,"Stelis multirostris"
"828","Stelis ophioglossoides",,,,"Stelis ophioglossoides"
"829","Stenocactus multicostatus","2017","DD","Data Deficient","Stenocactus multicostatus"
"830","Stenocactus multicostatus","2013","DD","Data Deficient","Stenocactus multicostatus"
"831","Stenorrhynchos speciosum",,,,"Stenorrhynchos speciosum"
"832","Stereochilus dalatensis",,,,"Stereochilus dalatensis"
"833","Sudamerlycaste barringtoniae",,,,"Sudamerlycaste barringtoniae"
"834","Sudamerlycaste ciliata",,,,"Sudamerlycaste ciliata"
"835","Tainia cordifolia",,,,"Tainia cordifolia"
"836","Thecostele alata",,,,"Thecostele alata"
"837","Thrixspermum centipeda",,,,"Thrixspermum centipeda"
"838","Trichocentrum ascendens",,,,"Trichocentrum ascendens"
"839","Trichocentrum lindenii",,,,"Trichocentrum lindenii"
"840","Trichocentrum panduratum",,,,"Trichocentrum panduratum"
"841","Trichocentrum undulatum",,,,"Trichocentrum undulatum"
"842","Trichoceros antennifer",,,,"Trichoceros antennifer"
"843","Trichoglottis fasciata",,,,"Trichoglottis fasciata"
"844","Trichoglottis retusa",,,,"Trichoglottis retusa"
"845","Trichopilia tortilis",,,,"Trichopilia tortilis"
"846","Uncarina grandidieri",,,,"Uncarina grandidieri"
"847","Uncarina stellulifera","2019","NT","Near Threatened","Uncarina stellulifera"
"848","Vanda bensonii",,,,"Vanda bensonii"
"849","Vanda bidupensis",,,,"Vanda bidupensis"
"850","Vanda coerulea",,,,"Vanda coerulea"
"851","Vanda coerulescens",,,,"Vanda coerulescens"
"852","Vanda concolor",,,,"Vanda concolor"
"853","Vanda denisoniana",,,,"Vanda denisoniana"
"854","Vanda lilacina",,,,"Vanda lilacina"
"855","Vanda pumila",,,,"Vanda pumila"
"856","Vandopsis gigantea",,,,"Vandopsis gigantea"
"857","Vanilla claviculata",,,,"Vanilla claviculata"
"858","Vanilla planifolia","2017","EN","Endangered","Vanilla planifolia"
"859","Vanilla pompona","2020","EN","Endangered","Vanilla pompona"
"860","Vanilla pompona","2017","EN","Endangered","Vanilla pompona"
"861","Xylobium elongatum",,,,"Xylobium elongatum"
"862","Zamia acuminata","2022","VU","Vulnerable","Zamia acuminata"
"863","Zamia chigua","2022","NT","Near Threatened","Zamia chigua"
"864","Zamia dressleri","2022","EN","Endangered","Zamia dressleri"
"865","Zamia dressleri","2010","EN","Endangered","Zamia dressleri"
"866","Zamia dressleri","2003","EN","Endangered","Zamia dressleri"
"867","Zamia dressleri","1998","E","Endangered","Zamia dressleri"
"868","Zamia elegantissima","2022","EN","Endangered","Zamia elegantissima"
"869","Zamia elegantissima","2010","EN","Endangered","Zamia elegantissima"
"870","Zamia furfuracea","2022","EN","Endangered","Zamia furfuracea"
"871","Zamia ipetiensis","2022","EN","Endangered","Zamia ipetiensis"
"872","Zamia ipetiensis","2010","EN","Endangered","Zamia ipetiensis"
"873","Zamia ipetiensis","2003","VU","Vulnerable","Zamia ipetiensis"
"874","Zamia ipetiensis","1998","V","Vulnerable","Zamia ipetiensis"
"875","Zamia manicata","2022","NT","Near Threatened","Zamia manicata"
"876","Zamia manicata","2010","NT","Near Threatened","Zamia manicata"
"877","Zamia manicata","2003","NT","Near Threatened","Zamia manicata"
"878","Zamia manicata","1998","R","Rare","Zamia manicata"
"879","Zamia nesophila","2022","CR","Critically Endangered","Zamia nesophila"
"880","Zamia obliqua","2022","LC","Least Concern","Zamia obliqua"
"881","Zamia obliqua","2010","NT","Near Threatened","Zamia obliqua"
"882","Zamia obliqua","2003","NT","Near Threatened","Zamia obliqua"
"883","Zamia obliqua","1998","I","Indeterminate","Zamia obliqua"
"884","Zygosicyos pubescens",,,,"Zygosicyos pubescens"
"885","Zygosicyos tripartitus",,,,"Zygosicyos tripartitus"
