"","Taxon","Family","order_new","Year","Clean_code","IUCNName","n"
"67","Acriopsis indica","Orchidaceae","Asparagales",2003,"NE","Acriopsis indica",7
"68","Acriopsis indica","Orchidaceae","Asparagales",2004,"NE","Acriopsis indica",0
"69","Acriopsis indica","Orchidaceae","Asparagales",2005,"NE","Acriopsis indica",0
"70","Acriopsis indica","Orchidaceae","Asparagales",2006,"NE","Acriopsis indica",0
"71","Acriopsis indica","Orchidaceae","Asparagales",2007,"NE","Acriopsis indica",0
"72","Acriopsis indica","Orchidaceae","Asparagales",2008,"NE","Acriopsis indica",0
"73","Acriopsis indica","Orchidaceae","Asparagales",2009,"NE","Acriopsis indica",0
"74","Acriopsis indica","Orchidaceae","Asparagales",2010,"NE","Acriopsis indica",0
"75","Acriopsis indica","Orchidaceae","Asparagales",2011,"NE","Acriopsis indica",0
"76","Acriopsis indica","Orchidaceae","Asparagales",2012,"NE","Acriopsis indica",0
"77","Acriopsis indica","Orchidaceae","Asparagales",2013,"NE","Acriopsis indica",0
"78","Acriopsis indica","Orchidaceae","Asparagales",2014,"NE","Acriopsis indica",0
"79","Acriopsis indica","Orchidaceae","Asparagales",2015,"NE","Acriopsis indica",0
"80","Acriopsis indica","Orchidaceae","Asparagales",2016,"NE","Acriopsis indica",0
"81","Acriopsis indica","Orchidaceae","Asparagales",2017,"NE","Acriopsis indica",0
"82","Acriopsis indica","Orchidaceae","Asparagales",2018,"NE","Acriopsis indica",0
"83","Acriopsis indica","Orchidaceae","Asparagales",2019,"NE","Acriopsis indica",0
"84","Acriopsis indica","Orchidaceae","Asparagales",2020,"NE","Acriopsis indica",0
"85","Adenia firingalavensis","Passifloraceae","Malpighiales",2013,"NE","Adenia firingalavensis",0
"86","Adenia firingalavensis","Passifloraceae","Malpighiales",2014,"NE","Adenia firingalavensis",1
"87","Adenia firingalavensis","Passifloraceae","Malpighiales",2015,"NE","Adenia firingalavensis",0
"88","Adenia firingalavensis","Passifloraceae","Malpighiales",2016,"NE","Adenia firingalavensis",50
"89","Adenia firingalavensis","Passifloraceae","Malpighiales",2017,"NE","Adenia firingalavensis",0
