"","Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID","WildSource","PurposeC","Factor","WOE","FL_year","Year_DEL","ChangeType"
"28",4684930610,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",22000,NA,"NL","TR",NA,"T","W","I","b43635e06f","d1e54c3f3d",NA,"Yes","Commercial",1,22000,"1975","2020",NA
"29",2901108010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",25000,NA,"NL","TR",NA,"T","W","I","1e5b6e817a","3a0a2b08f7",NA,"Yes","Commercial",1,25000,"1975","2020",NA
"30",3573479010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",42780,NA,"NL","TR",NA,"T","W","I","feaf5a58c6","36119b5edf",NA,"Yes","Commercial",1,42780,"1975","2020",NA
"31",5370809010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",96160,NA,"NL","TR",NA,"T","W","I","49f0f92528","de2975b55a",NA,"Yes","Commercial",1,96160,"1975","2020",NA
"32",4959358010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",13740,NA,"NL","TR",NA,"T","W","I","7cfd0b46d0","6b0be4ea58",NA,"Yes","Commercial",1,13740,"1975","2020",NA
"33",9987431210,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",16515,NA,"NL","TR",NA,"T","W","I","7e4d418d30","161941216c",NA,"Yes","Commercial",1,16515,"1975","2020",NA
"34",9132775910,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",17000,NA,"NL","TR",NA,"T","W","I","43db64d62e","3206bb30a4",NA,"Yes","Commercial",1,17000,"1975","2020",NA
"35",5242357210,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",25000,NA,"NL","TR",NA,"T","W","I","b38e6fe55f","172aa6f2ef",NA,"Yes","Commercial",1,25000,"1975","2020",NA
"36",5711576910,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",32620,NA,"NL","TR",NA,"T","W","I","c9fd80d46b","88928940b9",NA,"Yes","Commercial",1,32620,"1975","2020",NA
"37",5671210010,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",40740,NA,"NL","TR",NA,"T","W","I","65708748f3","bceb6eb486",NA,"Yes","Commercial",1,40740,"1975","2020",NA
"38",5128927610,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",2590,NA,"NL","TR",NA,"T","W","I","f2e016d107","8d15b9dc37",NA,"Yes","Commercial",1,2590,"1975","2020",NA
"39",1517499910,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",16515,NA,"NL","TR",NA,"T","W","I","7e4d418d30","161941216c",NA,"Yes","Commercial",1,16515,"1975","2020",NA
"40",9807224210,2012,"II","Cyphostemma montagnacii",NA,"Rhamnales","Vitaceae","Cyphostemma","live",7,NA,"ES","MG",NA,"T","W","I",NA,"068d0172cf",NA,"Yes","Commercial",1,7,"2010","2020",NA
"41",8850433310,2011,"II","Echinopsis chiloensis",NA,"Caryophyllales","Cactaceae","Echinopsis","stems",300,NA,"BE","CL",NA,"T","W","I",NA,"b50a95935e",NA,"Yes","Commercial",1,300,"1975","2020",NA
"42",7302119810,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",2724,NA,"FR","CL",NA,"T","W","I","82a62001bd","97b8193e32",NA,"Yes","Commercial",1,2724,"1975","2020",NA
"43",4428365210,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",300,NA,"GB","CL",NA,"T","W","I","e6a8176d23",NA,NA,"Yes","Commercial",1,300,"1975","2020",NA
"44",1467554610,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",1000,NA,"GB","CL",NA,"T","W","I","be73ff02f6","a14086c5b7",NA,"Yes","Commercial",1,1000,"1975","2020",NA
"45",1852267310,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",2620,NA,"GB","CL",NA,"T","W","I","69692d4a2f",NA,NA,"Yes","Commercial",1,2620,"1975","2020",NA
"46",9364108810,2011,"II","Euphorbia guillauminiana",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",170,NA,"US","MG",NA,"T","W","I",NA,"e5c1e20bcf",NA,"Yes","Commercial",1,170,"1975","2020",NA
"47",9839533010,2011,"II","Euphorbia guillauminiana",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",10,NA,"JP","MG",NA,"T","W","I",NA,"35bfbfbce2",NA,"Yes","Commercial",1,10,"1975","2020",NA
"48",9866928210,2011,"II","Euphorbia itremensis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",30,NA,"US","MG",NA,"T","W","I",NA,"966e044be5",NA,"Yes","Commercial",1,30,"1975","2020",NA
"49",4427442610,2011,"II","Euphorbia itremensis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"US","MG",NA,"T","W","I",NA,"4b2d3fcdd9",NA,"Yes","Commercial",1,50,"1975","2020",NA
"50",8966189110,2012,"II","Euphorbia itremensis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",100,NA,"DE","MG",NA,"T","W","I","9fa8d674af",NA,NA,"Yes","Commercial",1,100,"1975","2020",NA
"51",5200878210,2011,"II","Euphorbia meridionalis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"JP","MG",NA,"T","W","I",NA,"dfbc6190bf",NA,"Yes","Commercial",1,50,"1975","2020",NA
"52",5783262610,2012,"II","Euphorbia pedilanthoides",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"DE","MG",NA,"T","W","I","9fa8d674af",NA,NA,"Yes","Commercial",1,50,"1975","2020",NA
"53",1373297510,2011,"II","Euphorbia primulifolia",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",30,NA,"US","MG",NA,"T","W","I",NA,"966e044be5",NA,"Yes","Commercial",1,30,"1975","2020",NA
"54",1489851410,2011,"II","Euphorbia primulifolia",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"US","MG",NA,"T","W","I",NA,"00b2703092",NA,"Yes","Commercial",1,50,"1975","2020",NA
"55",5045724110,2011,"II","Euphorbia primulifolia",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",75,NA,"US","MG",NA,"T","W","I",NA,"2287f92255",NA,"Yes","Commercial",1,75,"1975","2020",NA
"56",2412445510,2011,"II","Euphorbia primulifolia",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",30,NA,"JP","MG",NA,"T","W","I",NA,"dfbc6190bf",NA,"Yes","Commercial",1,30,"1975","2020",NA
"57",5045250710,2012,"II","Euphorbia primulifolia",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",350,NA,"DE","MG",NA,"T","W","I","9fa8d674af",NA,NA,"Yes","Commercial",1,350,"1975","2020",NA
"58",8650465910,2012,"II","Euphorbia primulifolia",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",100,NA,"JP","MG",NA,"T","W","I",NA,"d154db0377",NA,"Yes","Commercial",1,100,"1975","2020",NA
"59",7184267610,2012,"II","Euphorbia sakarahaensis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"DE","MG",NA,"T","W","I","9fa8d674af",NA,NA,"Yes","Commercial",1,50,"1975","2020",NA
"60",9328057610,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",86125,NA,"NL","TR",NA,"T","W","I","f140590a0c","0ce5e15bfd",NA,"Yes","Commercial",1,86125,"1990","2020",NA
"61",2583802310,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",89125,NA,"NL","TR",NA,"T","W","I","3683a2d861","f41633e0db",NA,"Yes","Commercial",1,89125,"1990","2020",NA
"62",4074918310,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",250000,NA,"NL","TR",NA,"T","W","I","59012e70e5","e0a6f72229",NA,"Yes","Commercial",1,250000,"1990","2020",NA
"63",5156701710,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",250000,NA,"NL","TR",NA,"T","W","I","61a899590a","88f7e626b2",NA,"Yes","Commercial",1,250000,"1990","2020",NA
"64",8497614310,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",275600,NA,"NL","TR",NA,"T","W","I","af0e0ed2ff","d6a4b48382",NA,"Yes","Commercial",1,275600,"1990","2020",NA
"65",8645618610,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",285200,NA,"NL","TR",NA,"T","W","I","b4eae6e335","fdbd132d23",NA,"Yes","Commercial",1,285200,"1990","2020",NA
"66",3583348810,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",304500,NA,"NL","TR",NA,"T","W","I","ff50289c73","041252d880",NA,"Yes","Commercial",1,304500,"1990","2020",NA
"67",5653568310,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",474400,NA,"NL","TR",NA,"T","W","I","6016e60afc","3f5c7ac041",NA,"Yes","Commercial",1,474400,"1990","2020",NA
"68",7120470710,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",515025,NA,"NL","TR",NA,"T","W","I","04e294b363","4af6469af4",NA,"Yes","Commercial",1,515025,"1990","2020",NA
"69",6300579910,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",750000,NA,"NL","TR",NA,"T","W","I","bd889f7988","1b9e8f6828",NA,"Yes","Commercial",1,750000,"1990","2020",NA
"70",6209790010,2011,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","roots",1050000,NA,"NL","TR",NA,"T","W","I","7b2eb5f6aa","b07623da54",NA,"Yes","Commercial",1,1050000,"1990","2020",NA
"71",4230655610,2010,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",10000,NA,"CH","TR",NA,"T","W","I",NA,"1a5a72f8c6",NA,"Yes","Commercial",1,10000,"1990","2020",NA
"72",2177958510,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",330289,NA,"NL","TR",NA,"T","W","I","768ee2d82c","df1737c07f",NA,"Yes","Commercial",1,330289,"1990","2020",NA
"73",5452780710,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",503989,NA,"NL","TR",NA,"T","W","I","54434bfd5f","8168a68af4",NA,"Yes","Commercial",1,503989,"1990","2020",NA
"74",8055889810,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",250000,NA,"NL","TR",NA,"T","W","I","fd3d4c82cd","4893319a5d",NA,"Yes","Commercial",1,250000,"1990","2020",NA
"75",7100404810,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",369543,NA,"NL","TR",NA,"T","W","I","532ce121fc","e33f34a539",NA,"Yes","Commercial",1,369543,"1990","2020",NA
"76",8041973610,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",750000,NA,"NL","TR",NA,"T","W","I","449172fa76","472f52622a",NA,"Yes","Commercial",1,750000,"1990","2020",NA
"77",7847420210,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",669544,NA,"NL","TR",NA,"T","W","I","d24ae8ac1c","18c3b3e5f1",NA,"Yes","Commercial",1,669544,"1990","2020",NA
"78",5495958710,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",358207,NA,"NL","TR",NA,"T","W","I","65708748f3","a5a947933e",NA,"Yes","Commercial",1,358207,"1990","2020",NA
"79",6582484110,2012,"II","Galanthus elwesii",NA,"Liliales","Amaryllidaceae","Galanthus","live",357674,NA,"NL","TR",NA,"T","W","I","001424448d","25feb1f924",NA,"Yes","Commercial",1,357674,"1990","2020",NA
"80",7562261110,2011,"II","Pachypodium inopinatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",50,NA,"JP","MG",NA,"T","W","I",NA,"dfd10389b5",NA,"Yes","Commercial",1,50,"1975","2020",NA
"81",1351314910,2011,"II","Pachypodium inopinatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",21,NA,"JP","MG",NA,"T","W","I",NA,"02a0ff944c",NA,"Yes","Commercial",1,21,"1975","2020",NA
"82",5702474110,2012,"II","Pachypodium inopinatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",50,NA,"JP","MG",NA,"T","W","I",NA,"d049569bfc",NA,"Yes","Commercial",1,50,"1975","2020",NA
"83",7944774010,2012,"II","Pachypodium inopinatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",20,NA,"JP","MG",NA,"T","W","I",NA,"1490ca4cf9",NA,"Yes","Commercial",1,20,"1975","2020",NA
"84",6137313310,2011,"II","Pachypodium rosulatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",75,NA,"US","MG",NA,"T","W","I",NA,"2287f92255",NA,"Yes","Commercial",1,75,"1975","2020",NA
"85",3933427610,2011,"II","Pachypodium rosulatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",1,NA,"JP","MG",NA,"T","W","I",NA,"fe1425c6cc",NA,"Yes","Commercial",1,1,"1975","2020",NA
"86",7877292110,2011,"II","Pachypodium rosulatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",15,NA,"JP","MG",NA,"T","W","I",NA,"02a0ff944c",NA,"Yes","Commercial",1,15,"1975","2020",NA
"87",3329663410,2011,"II","Pachypodium rosulatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",18,NA,"JP","MG",NA,"T","W","I",NA,"81fa51ea57",NA,"Yes","Commercial",1,18,"1975","2020",NA
"88",5260218210,2012,"II","Pachypodium rosulatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",30,NA,"JP","MG",NA,"T","W","I",NA,"d049569bfc",NA,"Yes","Commercial",1,30,"1975","2020",NA
"89",3771404910,2012,"II","Pachypodium rosulatum",NA,"Gentianales","Apocynaceae","Pachypodium","live",50,NA,"JP","MG",NA,"T","W","I",NA,"0be42362e1",NA,"Yes","Commercial",1,50,"1975","2020",NA
"90",8320705010,2012,"II","Phalaenopsis gigantea",NA,"Orchidales","Orchidaceae","Phalaenopsis","live",25,NA,"JP","MY",NA,"T","W","I",NA,"e99a241cf0",NA,"Yes","Commercial",1,25,"1975","2020",NA
"91",3165915410,2011,"II","Zygosicyos tripartitus",NA,"Violales","Cucurbitaceae","Zygosicyos","live",5,NA,"US","MG",NA,"T","W","I",NA,"614f7a6426",NA,"Yes","Commercial",1,5,"2010","2020",NA
"92",9736938911,2007,"II","Alsophila cunninghamii",NA,"Cyatheales","Cyatheaceae","Alsophila","live",20,NA,"GB","AU",NA,"T","W","I","a0464f321c","b5f66949bb",NA,"Yes","Commercial",1,20,"1977","2020",NA
"93",1438682111,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",21,NA,"GB","AU",NA,"T","W","I","70bc6ff77a","99cd2cdfec",NA,"Yes","Commercial",1,21,"1977","2020",NA
"94",4319816111,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",40,NA,"GB","AU",NA,"T","W","I","afec5af12f","3216882bbe",NA,"Yes","Commercial",1,40,"1977","2020",NA
"95",8276450311,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",130,NA,"GB","AU",NA,"T","W","I","73f35a324f","b6b20bcb70",NA,"Yes","Commercial",1,130,"1977","2020",NA
"96",6598893811,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",28,NA,"GB","AU",NA,"T","W","I","c14ffce6d8","0f752c8305",NA,"Yes","Commercial",1,28,"1977","2020",NA
"97",9330922411,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",68,NA,"GB","AU",NA,"T","W","I","1b9264bcb8","303843af0d",NA,"Yes","Commercial",1,68,"1977","2020",NA
"98",9144720811,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",100,NA,"GB","AU",NA,"T","W","I","3a5d454dc5","013e033294",NA,"Yes","Commercial",1,100,"1977","2020",NA
"99",5484390811,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","3cf61e8c91","cd492efc0d",NA,"Yes","Commercial",1,50,"1977","2020",NA
"100",6131038311,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",100,NA,"GB","AU",NA,"T","W","I","a7a2033ac9","c6486ee95c",NA,"Yes","Commercial",1,100,"1977","2020",NA
"101",1501105511,2002,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",39,NA,"GB","AU",NA,"T","W","I","63aca3e47f","245eb372bf",NA,"Yes","Commercial",1,39,"1977","2020",NA
"102",9142428211,2003,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","c56393c1f0","e690a2f352",NA,"Yes","Commercial",1,50,"1977","2020",NA
"103",6209360411,2003,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",90,NA,"GB","AU",NA,"T","W","I","bd1916d473","5e7d2690a4",NA,"Yes","Commercial",1,90,"1977","2020",NA
"104",9217642711,2003,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","98b20fe5b0","4a2ddb00a4",NA,"Yes","Commercial",1,50,"1977","2020",NA
"105",3168232011,2003,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","ff409d6dfe","847174bc9d",NA,"Yes","Commercial",1,50,"1977","2020",NA
"106",7027089611,2003,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",42,NA,"GB","AU",NA,"T","W","I","1c3be90847","078b6585cb",NA,"Yes","Commercial",1,42,"1977","2020",NA
"107",9078607011,2003,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","cd61246f75","b3cd985334",NA,"Yes","Commercial",1,50,"1977","2020",NA
"108",7371483911,2004,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",24,NA,"IE","AU",NA,"T","W","I","34394b9675","cab466d9e7",NA,"Yes","Commercial",1,24,"1977","2020",NA
