"","Family","Taxon","Order","Importer","Exporter","Year","n","Clean_code","IUCNName","order_new","CITES order","Number of plants traded","analysis"
"37","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2013,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"38","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2002,1910000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"39","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2013,2917350,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"40","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2001,2e+06,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"41","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2015,2697129,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"42","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2016,1049397,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"43","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2017,1338632,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"44","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2014,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"45","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2005,5560000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"46","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2006,5240000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"47","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2005,65500,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"48","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2006,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"49","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2007,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"50","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2012,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"51","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2011,4329975,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"52","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2012,3589246,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"53","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2014,4402412,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"54","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2000,5e+06,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
